entry_bar,entry_notional,entry_time,exit_bar,exit_time,month,pnl,quarter,rank,return,sleeve
131158,21917.03501596424,2020-12-23 00:00:00,133975,2021-01-01 18:45:00,2020-12,2845.117282965977,2020Q4,19,0.12981305550196962,5m_core_donchian
85840,8788.100082462646,2020-07-18 09:10:00,88724,2020-07-28 09:30:00,2020-07,2790.743331099153,2020Q3,20,0.31755934785816825,5m_core_donchian
55577,18376.233629469607,2021-04-25 14:45:00,57247,2021-05-13 00:15:00,2021-04,10347.801534546667,2021Q2,1,0.5631078567673464,15m_core_donchian
44810,25382.861586469375,2021-01-03 07:45:00,45270,2021-01-08 02:45:00,2021-01,9690.398063901896,2021Q1,2,0.3817693301005696,15m_core_donchian
57599,22743.852412552882,2021-05-16 16:15:00,58349,2021-05-24 11:45:00,2021-05,7961.287668913015,2021Q2,3,0.3500413001501447,15m_core_donchian
15982,12068.51397323692,2020-03-08 00:15:00,17038,2020-03-19 00:15:00,2020-03,5904.541371992247,2020Q1,4,0.48925173265624333,15m_core_donchian
60554,28377.086468288497,2021-06-16 11:00:00,61164,2021-06-23 03:00:00,2021-06,5264.13748944331,2021Q2,5,0.18550662328657327,15m_core_donchian
43916,24516.397008812615,2020-12-25 00:15:00,44663,2021-01-01 19:00:00,2020-12,4147.332570564093,2020Q4,6,0.16916566366066355,15m_core_donchian
40319,14288.9445302574,2020-11-17 13:00:00,41051,2020-11-25 04:00:00,2020-11,3496.3105072351627,2020Q4,7,0.24468640772112932,15m_core_donchian
61547,31211.369395774833,2021-06-27 02:45:00,61979,2021-07-01 14:45:00,2021-06,3358.575811328192,2021Q2,8,0.10760744806611565,15m_core_donchian
67748,17663.095423196548,2021-08-30 17:00:00,68230,2021-09-04 17:30:00,2021-08,3213.36301891688,2021Q3,9,0.1819252482040516,15m_core_donchian
63859,21897.164493006614,2021-07-21 04:45:00,64283,2021-07-25 14:45:00,2021-07,3044.8756213263478,2021Q3,10,0.13905342046906585,15m_core_donchian
58349,30700.591310983385,2021-05-24 11:45:00,58710,2021-05-28 06:00:00,2021-05,3036.2854645236584,2021Q2,11,0.09889990175653075,15m_core_donchian
49466,13787.389687842282,2021-02-20 23:00:00,50273,2021-03-01 08:45:00,2021-02,3021.742574929078,2021Q1,12,0.21916712614525213,15m_core_donchian
28617,9315.6613784736,2020-07-18 09:30:00,29578,2020-07-28 09:45:00,2020-07,3018.7498754478875,2020Q3,13,0.3240510526094841,15m_core_donchian
42742,20626.466047285834,2020-12-12 18:45:00,43453,2020-12-20 04:30:00,2020-12,2904.297158114736,2020Q4,14,0.1408043991373356,15m_core_donchian
33018,13772.020360312525,2020-09-02 11:45:00,33697,2020-09-09 13:30:00,2020-09,2750.626126981888,2020Q3,15,0.19972567967649074,15m_core_donchian
98205,7768.017943717717,2022-07-13 23:30:00,98896,2022-07-21 04:15:00,2022-07,2585.922941406682,2022Q3,16,0.3328935334782554,15m_core_donchian
222511,8877.65787140956,2026-01-29 03:00:00,223380,2026-02-07 04:15:00,2026-01,2575.6957017554596,2026Q1,17,0.29013234561003653,15m_core_donchian
52496,16599.147820713377,2021-03-24 12:30:00,53503,2021-04-04 00:15:00,2021-03,2564.532942611644,2021Q1,18,0.15449786762013598,15m_core_donchian
69451,23812.004504701148,2021-09-17 10:45:00,69999,2021-09-23 03:45:00,2021-09,2554.1365379666167,2021Q3,19,0.10726255899466,15m_core_donchian
70662,21386.143091969603,2021-09-30 01:30:00,71053,2021-10-04 03:15:00,2021-09,2538.5177983721405,2021Q3,20,0.11869918701354533,15m_core_donchian
13781,21232.064019810034,2021-04-20 19:00:00,14315,2021-05-13 01:00:00,2021-04,12762.887468106364,2021Q2,1,0.6011138368930256,1h_core_donchian
15969,30268.51188595529,2021-07-21 06:00:00,16281,2021-08-03 06:00:00,2021-07,9747.251406379466,2021Q3,2,0.3220261188625606,1h_core_donchian
14403,26591.191023632917,2021-05-16 17:00:00,14591,2021-05-24 13:00:00,2021-05,9152.491171899099,2021Q2,3,0.3441925998637979,1h_core_donchian
15142,30727.077058780866,2021-06-16 12:00:00,15391,2021-06-27 04:00:00,2021-06,7392.262030604445,2021Q2,4,0.24057810694011197,1h_core_donchian
11205,17424.723610094785,2021-01-03 08:00:00,11394,2021-01-11 05:00:00,2021-01,7020.742644587666,2021Q1,5,0.40291845091421086,1h_core_donchian
3996,11686.64346963711,2020-03-08 01:00:00,4186,2020-03-15 23:00:00,2020-03,5245.037224907068,2020Q1,6,0.4488061297098794,1h_core_donchian
16941,31729.81173834028,2021-08-30 18:00:00,17125,2021-09-07 10:00:00,2021-08,4923.0425845983555,2021Q3,7,0.15515511485527236,1h_core_donchian
17670,36733.56155940016,2021-09-30 03:00:00,17767,2021-10-04 04:00:00,2021-09,4609.601698051512,2021Q3,8,0.12548746983320788,1h_core_donchian
17367,40206.39486419736,2021-09-17 12:00:00,17504,2021-09-23 05:00:00,2021-09,3997.029817826864,2021Q3,9,0.09941278822255471,1h_core_donchian
12370,15923.572581263825,2021-02-21 00:00:00,12572,2021-03-01 10:00:00,2021-02,3721.9515682673245,2021Q1,10,0.23373847478465287,1h_core_donchian
15391,38113.193673973554,2021-06-27 04:00:00,15512,2021-07-02 05:00:00,2021-06,3367.1657476751134,2021Q2,11,0.08834646019114524,1h_core_donchian
17125,36652.854322938634,2021-09-07 10:00:00,17245,2021-09-12 10:00:00,2021-09,3308.69312344044,2021Q3,12,0.09027109033005772,1h_core_donchian
14591,35738.36395732729,2021-05-24 13:00:00,14681,2021-05-28 07:00:00,2021-05,3191.534582604734,2021Q2,13,0.08930276121244736,1h_core_donchian
13128,18598.096974003558,2021-03-24 14:00:00,13379,2021-04-04 01:00:00,2021-03,2878.5785674126855,2021Q1,14,0.15477812441973854,1h_core_donchian
10982,16620.53536916526,2020-12-25 01:00:00,11169,2021-01-01 20:00:00,2020-12,2857.779120644136,2020Q4,15,0.17194266352851326,1h_core_donchian
