also_inside_bb,attribution_only,bar,bars_held_at_signal,base_trade_entry_notional,base_trade_pnl,baseline_realized_return,bb_lower_prev,bb_upper_prev,direction,donchian_lower_prev,donchian_upper_prev,entry_bar,entry_price,entry_time,exit_bar,exit_time,giveback_capture_ratio,is_top20,is_worst20,lead_time_bars,life_mfe,position,post_return_12,post_return_144,post_return_24,post_return_288,post_return_6,post_return_72,regime,signal_close,signal_mfe_capture_ratio,signal_return_from_entry,signal_vs_baseline_return_delta,time,tol,tol_bp
True,True,667362,269,2365398.2867343375,-21354.159727001563,-0.009027722665886877,2914.239076790094,3048.0353765432396,long,2900.37,3044.4,667093,2966.133108,2026-01-27 16:10:00,667528,2026-01-29 04:25:00,0.8174104019492336,False,False,166,0.02638684413349668,1,-0.0058276753426196315,-0.017499553751462615,-0.005764869992926025,-0.03709151731113758,-0.00589378623703396,-0.003457599777867304,BEAR,3025.22,0.7549410803229478,0.01992051261645522,0.028948235282342097,2026-01-28 14:35:00,0.005,50
True,True,667402,309,2365398.2867343375,-21354.159727001563,-0.009027722665886877,2930.498097261635,3050.1413160716993,long,2900.37,3044.4,667093,2966.133108,2026-01-27 16:10:00,667528,2026-01-29 04:25:00,0.7119311138156392,False,False,126,0.02638684413349668,1,0.00028532184968188545,-0.020569714744504197,0.004392629406729798,-0.0646287166488616,-0.000673492273086107,-0.0009687672105476164,BEAR,3014.14,0.6133741965887697,0.016185009320896615,0.02521273198678349,2026-01-28 17:55:00,0.005,50
True,True,667433,340,2365398.2867343375,-21354.159727001563,-0.009027722665886877,2949.778231886699,3047.847741446634,long,2907.15,3044.4,667093,2966.133108,2026-01-27 16:10:00,667528,2026-01-29 04:25:00,0.7786648511637032,False,False,95,0.02638684413349668,1,-0.003362957814077472,-0.02031345679625307,-0.0018039488274333992,-0.07364414213130765,-0.0034423977624414848,-0.014133690813101007,BEAR,3021.15,0.7029395264603093,0.018548355719982146,0.02757607838586902,2026-01-28 20:30:00,0.005,50
False,True,667528,0,2344044.127007336,675483.4111797365,0.288170091764498,2983.3214139210486,3035.8417860789523,short,2940.21,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.4658036141821738,True,False,2588,0.4051178041070078,-1,-0.0067810347156558315,0.04694508123193475,-0.004242208792511026,0.06516007532956691,-0.005756976488683896,-0.0014497231266487054,BEAR,2941.12,-0.0004936835606147538,-0.00019999999999997797,-0.28837009176449796,2026-01-29 04:25:00,0.0,0
False,True,667529,1,2344044.127007336,675483.4111797365,0.288170091764498,2982.593688664562,3036.1344180021047,short,2940.21,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.506506958199573,True,False,2587,0.4051178041070078,-1,-0.0017936159432527798,0.04997264206584373,-0.0007607931183726269,0.06875388777178237,-0.0022283821607879117,0.0031331043191353825,BEAR,2955.19,-0.012243754575187263,-0.004960162967524995,-0.293130254732023,2026-01-29 04:30:00,0.005,50
False,True,667548,20,2344044.127007336,675483.4111797365,0.288170091764498,2974.919977781917,3038.05132888475,short,2940.21,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.508493103555958,True,False,2568,0.4051178041070078,-1,-0.001246802744993336,0.04431081873617715,0.0016604653369389766,0.07885131978509685,-0.000858566396928051,0.007189636020417112,BEAR,2955.88,-0.012817106704997812,-0.00519243812333392,-0.2933625298878319,2026-01-29 06:05:00,0.005,50
False,True,667550,22,2344044.127007336,675483.4111797365,0.288170091764498,2974.114748953082,3038.153837713584,short,2940.21,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.5090398503359386,True,False,2566,0.4051178041070078,-1,-0.0004666182014910758,0.05169027814343341,0.003040266566229244,0.08151408386291892,-5.4122987724225524e-05,0.007745410537440156,BEAR,2956.07,-0.01297493927740306,-0.005256378908483295,-0.2934264706729813,2026-01-29 06:15:00,0.005,50
False,True,667553,25,2344044.127007336,675483.4111797365,0.288170091764498,2972.914938022721,3038.3681019772794,short,2940.21,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.512980102867028,True,False,2563,0.4051178041070078,-1,4.0577279428744006e-05,0.062146243355839736,-0.0007905993012994328,0.08695044949023467,-0.0007095697304310145,0.007309314096145103,BEAR,2957.44,-0.014112394888810758,-0.005717182428045975,-0.29388727419254396,2026-01-29 06:30:00,0.005,50
False,True,667558,30,2344044.127007336,675483.4111797365,0.288170091764498,2971.1161543007406,3038.3007523659257,short,2940.21,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.505844703624663,True,False,2558,0.4051178041070078,-1,-0.0024070841871787207,0.06932814162366374,0.001559131766970756,0.08747782692859718,-0.0007980198287639295,0.006845277644325076,BEAR,2954.96,-0.012052577695921798,-0.004882713810000938,-0.2930528055744989,2026-01-29 06:55:00,0.005,50
True,True,667576,48,2344044.127007336,675483.4111797365,0.288170091764498,2965.142720542269,3037.869972791065,short,2940.21,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.538574466863884,True,False,2540,0.4051178041070078,-1,0.005426456432435334,0.060156180196922815,0.007122995596508419,0.08120806102997169,0.005426456432435334,0.015570596633218026,BEAR,2966.37,-0.021500868779489687,-0.008710384746339783,-0.29688047651083777,2026-01-29 08:25:00,0.005,50
