bar,bars_held,base_trade_entry_bar,base_trade_exit_bar,base_trade_pnl,base_trade_top20_winner,base_trade_winner,base_trade_worst20_loser,close,current_return,entry_bar,entry_price,lower_shadow_ratio_2h,macd_hist_2h,macd_hist_4h,oi_change_2h,oi_change_4h,reasons,side,time,upper_shadow_ratio_2h,variant,volume_ratio_1h,volume_ratio_2h
216607,4079,212528,231248,31590.289119135792,False,True,False,3842.23,0.16252926632927855,212528,3305.06088,0.03193353303566179,-5.06580526504456,14.519285262300784,0.01505787386145152,0.009681296218749802,2h_upper_wick,long,2021-10-16 04:00:00,0.8917085853162274,2h_wick_r60_v1p5,0.2754869486741486,2.866916313088036
240535,71,240464,246224,39124.28035168933,False,True,False,3223.65,0.05674578443689615,240464,3406.5785480000004,0.768578694546484,-12.482741747723267,-41.600965710923674,-0.023474849843280188,-0.022581230549700737,2h_lower_wick,short,2022-01-07 06:00:00,0.18121880003767402,2h_wick_r60_v1p5,0.8205897217939879,3.4702146293976273
246415,191,246224,246475,-9399.757836988516,False,False,False,2476.94,0.004777398620419149,246224,2465.162934,0.25803693570451675,-1.2630433504916136,14.847402083393476,0.029997755284215666,0.046559896547253565,2h_upper_wick,long,2022-01-27 16:00:00,0.6650136798905585,2h_wick_r60_v1p5,1.7588175925819516,1.5624078286303544
251839,259,251580,252179,4424.30129698629,False,True,False,3090.64,0.044459165182535676,251580,2959.0816979999995,0.10910354412786138,23.573301076331152,27.186881994519112,0.024631209412173893,0.018894136643361037,2h_upper_wick,long,2022-02-15 12:00:00,0.858929812369704,2h_wick_r60_v1p5,1.6657767249601152,1.5157457090624813
252535,356,252179,254066,18872.726227091713,False,True,False,2890.37,0.05535616685753042,252179,3050.369804,0.6084288713063125,-28.99158805904881,-19.96916485895925,0.0314005202151002,0.030593056996031542,2h_lower_wick,short,2022-02-17 22:00:00,0.23607298562893475,2h_wick_r60_v1p5,1.908143023004789,2.6872508612997192
262441,642,261799,266378,9453.885492086352,False,True,False,3035.14,0.02397623516316072,261799,2964.072696,0.0609110169491457,4.945984827199883,1.067604280934077,0.014646284270894538,0.01719366977360215,2h_upper_wick,long,2022-03-24 08:00:00,0.686440677966108,2h_wick_r60_v1p5,1.2382387442335314,2.502138256153439
275305,1204,274101,277466,25933.17423582128,False,True,False,2633.97,0.048788480506611887,274101,2762.4773940000005,0.6625730118316646,1.0553963038555452,-7.553812319275302,-0.01537020304941139,-0.004090737589022231,2h_lower_wick,short,2022-05-08 00:00:00,0.3161599520742869,2h_wick_r60_v1p5,3.4415198006355876,2.9773982851818874
280657,795,279862,281661,9503.979987315004,False,True,False,1814.6,0.09615458172600033,279862,1989.082104,0.8181237354914265,-15.19261499815152,-12.540900275009491,0.02920225202119564,0.07830238713273596,2h_lower_wick,short,2022-05-26 14:00:00,0.16856564796081505,2h_wick_r60_v1p5,9.816614263411651,6.585640382072367
282961,694,282267,283346,8742.063103900015,False,True,False,1765.94,0.0854709378574583,282267,1916.876548,0.6973967040840726,-2.9797020021229486,-11.011246966610742,0.006011122716609751,0.03000823101744743,2h_lower_wick,short,2022-06-03 14:00:00,0.27680917124432647,2h_wick_r60_v1p5,2.304597419725519,1.9770933331643694
285241,1289,283952,286538,43704.53024715526,False,True,False,1590.94,0.11910181653613572,283952,1780.423844,0.6209098164405442,-11.001052409842217,-17.926941011391726,-0.039393623197916394,-0.041723874004680916,2h_lower_wick,short,2022-06-11 12:00:00,0.02474062250598723,2h_wick_r60_v1p5,2.546146377680688,2.8331992542155557
290377,507,289870,291864,16756.747354300227,False,True,False,1133.53,0.05238623591788483,289870,1192.91137,0.9098039215686319,-6.139459357208647,-11.777741188577952,0.0006251922729705317,-0.015820019779788197,2h_lower_wick,short,2022-06-29 08:00:00,0.059313725490197595,2h_wick_r60_v1p5,1.0641348456736,2.2202811443625037
292033,169,291864,293479,18880.601961238688,False,True,False,1151.13,0.053947215666803716,291864,1092.208398,0.29229871645273986,8.52781358927691,12.486315422006664,0.0058989374539639705,-0.03941996890597654,2h_upper_wick,long,2022-07-05 02:00:00,0.6627771295215772,2h_wick_r60_v1p5,0.6669932111859544,2.411534626276744
293737,258,293479,294463,17465.501745553338,False,True,False,1169.68,0.016091796046781903,293479,1188.502252,0.681283422459888,-3.899590943348767,-10.17169745228407,-0.00279905837611516,-0.020406283056438768,2h_lower_wick,short,2022-07-11 00:00:00,0.05989304812833699,2h_wick_r60_v1p5,1.990374326782633,1.6389753306276058
294841,378,294463,296666,87236.47471089859,False,True,False,1195.66,0.08713172471770614,294463,1099.829922,0.30814179976626643,13.21568688919932,14.275673959616913,-0.012830588109409735,0.007937394609212278,2h_upper_wick,long,2022-07-14 20:00:00,0.6482275029217005,2h_wick_r60_v1p5,1.4749977187000038,1.6883045801573435
301369,860,300509,302229,4914.057706488122,False,True,False,1713.89,0.019428570901065312,300509,1681.2261780000001,0.04560622914350183,2.145060482211605,9.80785586402132,-0.009903180855840854,-0.027047661751606222,2h_upper_wick,long,2022-08-06 12:00:00,0.8609566184649612,2h_wick_r60_v1p5,0.13756526320257356,2.5099396320899414
302401,172,302229,302683,-30464.735373436066,False,False,False,1684.3,0.01588655227691027,302229,1711.05772,0.612592426618866,-9.037830417335005,-9.441498194238658,-0.032405668937361076,-0.04638023387543977,2h_lower_wick,short,2022-08-10 02:00:00,0.13062962133094203,2h_wick_r60_v1p5,1.7841773553522235,3.4458677095982977
302833,150,302683,303731,8961.978736356134,False,True,False,1914.12,0.011783157127859711,302683,1891.82829,0.2747963584092004,9.72521142833287,18.05720374002417,-0.011849011669464171,0.002175680766322241,2h_upper_wick,long,2022-08-11 14:00:00,0.6312889314805973,2h_wick_r60_v1p5,0.8725166328388851,1.5327145946088825
303937,206,303731,304463,5268.834124774468,False,True,False,1906.89,0.026995919009486613,303731,1958.368248,0.7303215077605311,-9.739743523585101,-13.978867006548612,-0.037193984602167496,-0.02649565792728381,2h_lower_wick,short,2022-08-15 10:00:00,0.13636363636363236,2h_wick_r60_v1p5,2.003046180373097,2.9448441997325125
305089,115,304974,305802,25299.36208357266,False,True,False,1736.37,0.049238096719017355,304974,1821.865554,0.6377374784110603,-10.937385158382186,-9.146462784144529,-0.02001821824518446,-0.06467892362426342,2h_lower_wick,short,2022-08-19 10:00:00,0.351899827288431,2h_wick_r60_v1p5,2.6127601584388214,4.263280195675381
307225,155,307070,308019,24661.925174954784,False,True,False,1562.95,0.05798599955212902,307070,1653.579218,0.6470380818053587,-16.520813237454387,-10.507722804726436,-0.03472115313070345,0.03339075332154229,2h_lower_wick,short,2022-08-26 20:00:00,0.16466854724964253,2h_wick_r60_v1p5,1.561484722116341,5.183378332002634
310177,455,309722,310395,-2851.127027264738,False,False,False,1638.81,0.041046524219948255,309722,1574.194776,0.0,6.351659772960103,4.740481034349565,-0.05276578207371285,-0.03670873861702795,2h_upper_wick,long,2022-09-06 02:00:00,0.62801024765158,2h_wick_r60_v1p5,3.179849980685649,5.7102988981784
316009,220,315789,316243,-17402.501966663054,False,False,False,1295.97,0.005848312846747916,315789,1303.549238,0.7613584212941692,-2.248482889993493,-1.0049732703411305,0.005421254293131339,-0.0006918618532232301,2h_lower_wick,short,2022-09-26 08:00:00,0.18494722349701603,2h_wick_r60_v1p5,1.3405599716500516,2.6390787348369256
317785,231,317554,318102,-1585.5335684196907,False,False,False,1298.9,0.006966169836015057,317554,1307.948358,0.6330586524478965,-1.683369836060323,-3.2620609779066783,0.01385500068282508,0.02256339986929623,2h_lower_wick,short,2022-10-02 12:00:00,0.0,2h_wick_r60_v1p5,1.7871181546924289,3.366414702141128
321961,53,321908,322432,1821.3641402574722,False,True,False,1305.8,0.008457420667204119,321908,1294.848918,0.056034482758618435,2.972407172774371,1.9220079310291953,0.00845634980243437,-0.0458614136884401,2h_upper_wick,long,2022-10-17 00:00:00,0.6077586206896546,2h_wick_r60_v1p5,2.1834573409328066,3.498641372252598
324241,1244,322997,325224,33405.54589574665,False,True,False,1346.0,0.0282330520249654,322997,1309.0417559999999,0.023972602739719948,-1.0482144078603817,3.093710658688213,0.0016874636350634464,0.00791447751008234,2h_upper_wick,long,2022-10-24 22:00:00,0.8561643835616491,2h_wick_r60_v1p5,1.5195093433139129,2.263647431749903
327337,548,326789,327744,777.154318366549,False,True,False,1615.6,0.0017407732305578794,326789,1612.792494,0.0,9.319415678304889,5.4912390407513865,0.018133087341942744,0.025716350849351866,2h_upper_wick,long,2022-11-04 16:00:00,0.9993392798149952,2h_wick_r60_v1p5,3.969203260959787,4.683658369074991
328297,553,327744,329053,46202.53407956901,False,True,False,1573.07,0.02879481650530491,327744,1618.366262,0.7821083890126233,-0.8954564747452469,-5.656375971096081,0.006533579290972424,0.013374885369989764,2h_lower_wick,short,2022-11-08 00:00:00,0.0,2h_wick_r60_v1p5,1.3257307620441063,3.2803697294941006
331753,23,331730,332258,-29656.570866496942,False,False,False,1219.5,0.001672786160468842,331730,1217.463444,0.0587889476778366,1.4841528398672161,2.929893608942635,-0.005979108983949932,-0.00033186963335551933,2h_upper_wick,long,2022-11-20 00:00:00,0.8071722516166976,2h_wick_r60_v1p5,3.9625898240940565,5.577380259602165
332425,167,332258,332748,-18515.958767934877,False,False,False,1093.19,0.006576971981082869,332258,1100.37988,0.7370919881305721,-0.2997795927312694,-6.645372915569254,0.020478283145943355,0.022429540067258724,2h_lower_wick,short,2022-11-22 08:00:00,0.15014836795252146,2h_wick_r60_v1p5,0.5623364651297338,5.2974491724313735
335473,832,334641,335631,7269.439055136987,False,True,False,1290.38,0.048871127555775384,334641,1230.2560019999999,0.09410548086867374,-0.6194046924336636,-1.3332183175861054,0.0018070411097437233,-0.00020975001192935494,2h_upper_wick,long,2022-12-02 22:00:00,0.6318510858324564,2h_wick_r60_v1p5,2.242716737249499,3.000687344684295
336121,41,336080,336736,-11670.57038575114,False,False,False,1290.46,0.0017795960960613755,336080,1288.167582,0.13496932515336532,3.7374197561400675,-0.6795993223103398,0.009813470839951544,0.014090588667184933,2h_upper_wick,long,2022-12-05 04:00:00,0.8478527607361926,2h_wick_r60_v1p5,3.3742777293092994,5.54527483147663
340393,1419,338974,340449,17807.43321719661,False,True,False,1166.23,0.10981632096584715,338974,1294.301088,0.6159278148293464,0.03845163045320632,2.107272258356037,-0.005951907208624152,-0.013881804732890801,2h_lower_wick,short,2022-12-20 00:00:00,0.005492349941148396,2h_wick_r60_v1p5,10.503174843047256,12.4930343154767
340993,544,340449,341144,-295.2712000756874,False,False,False,1212.14,0.009982015864311578,340449,1200.1599840000001,0.07142857142857899,-1.082955265249817,3.931634955980804,0.004241486170865283,-0.007524127229816546,2h_upper_wick,long,2022-12-22 02:00:00,0.7003105590062285,2h_wick_r60_v1p5,1.8964782190397835,1.5679217514089625
346177,699,345478,355572,49025.1805000442,False,True,False,1290.99,0.025464656329864832,345478,1258.931736,0.23721503388787013,2.1734828474132994,0.12408494814276416,0.0013974803365113253,0.002279683566307922,2h_upper_wick,long,2023-01-09 02:00:00,0.6032039433148462,2h_wick_r60_v1p5,21.596951115977184,17.427344301565434
356891,832,356059,362196,2902.577303465514,False,True,False,1578.75,0.019798753795652324,356059,1548.099558,0.11141011840688614,4.5194226385616485,9.951119477568177,-0.0016130891673055148,-0.008868076732383878,2h_upper_wick,long,2023-02-15 14:00:00,0.7131324004305732,2h_wick_r60_v1p5,2.379991668458957,2.633486737675503
363371,311,363060,364212,-8797.535740603402,False,False,False,1429.97,0.07157036581187026,363060,1532.313476,0.7813565744600243,-11.79501533401848,-9.170702143145297,-0.010030448624451349,0.02268872463439231,2h_lower_wick,short,2023-03-10 02:00:00,0.0299355816597181,2h_wick_r60_v1p5,6.438087286963676,3.922211290113962
367547,3334,364213,381204,46971.89962416631,False,True,False,1761.22,0.11691921957876938,364213,1576.855308,0.1655024180548052,-3.942420508508893,-0.1880735782716414,-0.02675898932214893,-0.024199268123200945,2h_upper_wick,long,2023-03-24 14:00:00,0.6367544331004844,2h_wick_r60_v1p5,1.1702822180715435,1.5860504004086742
386411,23,386388,389844,-12182.001081157709,False,False,False,1916.55,0.0033127207759136024,386388,1910.2219679999998,0.042553191489359384,7.367631137304727,6.391960717735728,0.02171132863226921,-0.045890069255860144,2h_upper_wick,long,2023-05-29 02:00:00,0.6005319148936166,2h_wick_r60_v1p5,2.421866932171485,5.724239893317468
401027,7727,393300,405972,-9777.285888807732,False,False,False,1893.09,0.002086785425678306,393300,1889.1477539999998,0.1452471482889786,-0.5890271648517995,-3.859247228736521,0.0029459189196601177,0.004493002488061171,2h_upper_wick,long,2023-07-18 20:00:00,0.7254752851711121,2h_wick_r60_v1p5,1.6908400981795633,1.6591359636398801
409787,71,409716,415082,8149.520137668995,False,True,False,1682.91,0.002817977194264687,409716,1687.652402,0.7722308892355758,-9.606207856794011,-14.96627562526534,0.005969929716420408,0.006364593470105984,2h_lower_wick,short,2023-08-18 06:00:00,0.005720228809147158,2h_wick_r60_v1p5,0.867851031152384,2.202009155467693
415787,705,415082,415885,-4457.51111620228,False,False,False,1648.08,0.0037527335753861912,415082,1641.9183179999998,0.19940476190476583,1.7442069197018837,2.0464957269208943,0.004375910645286973,0.009849997704507008,2h_upper_wick,long,2023-09-08 02:00:00,0.7529761904761962,2h_wick_r60_v1p5,2.949881100668101,1.86450777302835
421667,1184,420483,422900,10642.110482847143,False,True,False,1624.9,0.018848985891054104,420483,1594.838904,0.03956834532373213,1.970262415670474,3.6267670521661617,0.040597684424907854,0.054470922110326336,2h_upper_wick,long,2023-09-28 12:00:00,0.7182254196642669,2h_wick_r60_v1p5,1.4437993314283288,3.5092306948406744
423995,1095,422900,424061,-54.019986028957646,False,False,False,1629.37,0.014397815106452327,422900,1652.8293680000002,0.6760044231478011,2.225102206729505,-0.8564093889329669,-0.012234671987915058,-0.026779506947389953,2h_lower_wick,short,2023-10-06 14:00:00,0.16218208625138494,2h_wick_r60_v1p5,1.7920574573811823,2.147081261431841
424907,391,424516,426094,13005.089737643139,False,True,False,1583.43,0.026931863107305,424516,1626.07472,0.8591370558375616,-5.155707826703083,-4.138981555026959,-0.03422714015021311,-0.028978284344563177,2h_lower_wick,short,2023-10-09 18:00:00,0.09454314720812246,2h_wick_r60_v1p5,3.2964077938867855,6.942638614522463
426659,565,426094,427152,3213.8175412995042,False,True,False,1558.91,0.0019209701300013649,426094,1555.921122,0.2741514360313168,0.4668881067328918,3.112911879995295,0.0032065973614896492,0.0077573569427535904,2h_upper_wick,long,2023-10-15 20:00:00,0.6161879895561327,2h_wick_r60_v1p5,3.1818425137840585,5.199419430921351
428915,1027,427888,455796,131352.1926257087,True,True,False,1675.04,0.061835084764074066,427888,1577.495436,0.024154589371980888,0.653859582995004,4.432698015356824,0.0005573667759786183,0.027269681045680727,2h_upper_wick,long,2023-10-23 16:00:00,0.6724637681159514,2h_wick_r60_v1p5,0.7561218617674594,1.5456386048904898
459563,23,459540,476244,176532.66314368136,True,True,False,2379.14,0.0005738725220083563,459540,2377.7754600000003,0.17820512820514206,6.465223000850134,8.043320980422688,0.0003987120911099762,0.0008531887954190687,2h_upper_wick,long,2024-02-07 02:00:00,0.7038461538461591,2h_wick_r60_v1p5,2.097729980560607,6.813244617166186
477395,575,476820,479124,-40958.31834407768,False,False,True,3702.3,0.10207122574972916,476820,3359.401746,0.0,20.89010707748318,39.10662545197829,0.003842022285888591,0.006582809898329378,2h_upper_wick,long,2024-04-09 00:00:00,0.6048804535370931,2h_wick_r60_v1p5,0.8424817761118525,2.828275708266628
503531,1079,502452,504180,-9433.904760260251,False,False,False,2981.08,0.022746823298938734,502452,3048.8901,0.7221011333914567,7.601891748279471,10.91271827440417,-0.0005679102691882321,-0.03461149631264915,2h_lower_wick,short,2024-07-08 18:00:00,0.2434612031386235,2h_wick_r60_v1p5,0.19764121438478485,1.7710777552400274
506723,1103,505620,508788,-35698.0686171815,False,False,False,3509.09,0.0060587172552470925,505620,3487.957452,0.017966695880809767,8.738789371472105,-3.641008142085468,0.03900478220789205,0.04041098188742964,2h_upper_wick,long,2024-07-19 20:00:00,0.6564417177914071,2h_wick_r60_v1p5,7.165337503764073,3.7636919865846936
512051,1247,510804,514048,45422.7901226714,False,True,False,2510.77,0.1915633578543634,510804,2991.741532,0.6137139311200803,18.493441485722627,24.115200406062144,0.0007476558982928427,0.013506934497287792,2h_lower_wick,short,2024-08-07 08:00:00,0.21377598510703905,2h_wick_r60_v1p5,0.8968224509307688,2.540529609365345
517067,441,516626,517456,14924.732541245874,False,True,False,2775.67,0.04619858363948892,516626,2653.100514,0.015663498768037135,0.709819071146427,12.803754986359014,0.005014138160278625,0.009947895338295654,2h_upper_wick,long,2024-08-24 18:00:00,0.7696233720520924,2h_wick_r60_v1p5,6.28942596298149,8.650856069042318
517619,163,517456,518370,33383.91070741514,False,True,False,2720.55,0.004746539486500945,517456,2733.4631980000004,0.6655127650367817,-6.691537583982701,-7.877614125154029,-0.010884916893836083,-0.0033583034891461194,2h_lower_wick,short,2024-08-26 16:00:00,0.02899177845089005,2h_wick_r60_v1p5,1.6259175680232407,1.572110426210635
522083,643,521440,522161,-592.6942429088522,False,False,False,2344.58,0.012325767635807505,521440,2316.0331140000003,0.003798670465333687,-0.38371660442170175,9.524442021093975,0.008982281833326722,0.018778711382298363,2h_upper_wick,long,2024-09-11 04:00:00,0.616809116809108,2h_wick_r60_v1p5,1.779931510385297,2.0974027285691776
524363,428,523935,525467,43638.76789338497,False,True,False,2385.86,0.01736837043124262,523935,2345.1289319999996,0.27362079898541913,7.68261613036936,3.583343080531357,0.009525845628908458,0.01527179567141923,2h_upper_wick,long,2024-09-19 02:00:00,0.6363348129359458,2h_wick_r60_v1p5,1.6904055164855238,2.106174374356596
526859,332,526527,527308,1017.9864546706667,False,True,False,2698.65,0.022995752703136807,526527,2637.987492,0.1481892912686079,5.632784437463615,1.6627123623653688,0.008051586057698623,-0.0028786684879413826,2h_upper_wick,long,2024-09-27 18:00:00,0.6007553876916204,2h_wick_r60_v1p5,1.548010253393285,3.823171895562722
527795,487,527308,528850,49598.604560681444,False,True,False,2602.72,0.01591068881785196,527308,2644.1310679999997,0.6907619313424431,-3.493395203885573,-9.988035898064275,-0.008902230565224656,-0.006017392859225645,2h_lower_wick,short,2024-10-01 00:00:00,0.05833100753558815,2h_wick_r60_v1p5,1.722004443626792,2.2457202222322596
528875,25,528850,529800,3812.8622120580403,False,True,False,2414.73,0.007720818353286418,528850,2396.22915,0.0821029888368652,13.017613889769027,6.962850864880721,-0.018307996428690743,6.396330979097087e-06,2h_upper_wick,long,2024-10-04 18:00:00,0.9110550954267266,2h_wick_r60_v1p5,1.971487672611394,1.8998607660596798
530387,587,529800,530796,-1620.878174930811,False,False,False,2374.57,0.01617863697427313,529800,2412.987306,0.7094017094017239,-7.4222463649359565,-4.219523086295971,0.00454011427646428,0.047674667495992695,2h_lower_wick,short,2024-10-10 00:00:00,0.13908313908313744,2h_wick_r60_v1p5,1.2427638586578984,2.418374689061119
531107,311,530796,531435,5166.151034196257,False,True,False,2451.73,0.013235568509515572,530796,2419.7038439999997,0.0,2.044751698991041,5.950521035918381,-0.001594090986812402,-0.0010980070050319313,2h_upper_wick,long,2024-10-12 12:00:00,0.6029962546816452,2h_wick_r60_v1p5,6.250710011610253,1.8078108010148606
534059,210,533849,535544,25782.971014758397,False,True,False,2626.71,0.006853041256933423,533849,2644.710952,0.8611374407582825,-6.807811454951101,-11.39307755496106,0.002734246982178945,0.017800170282969097,2h_lower_wick,short,2024-10-22 18:00:00,0.049763033175363215,2h_wick_r60_v1p5,2.4143026711692235,2.35048119933852
535859,315,535544,536601,20617.715211163973,False,True,False,2561.62,0.019155731442998203,535544,2513.472594,0.0,6.036766550090397,11.135684872118938,0.009057973906328565,0.02012241957180594,2h_upper_wick,long,2024-10-29 00:00:00,0.8800872093023354,2h_wick_r60_v1p5,0.7383373703821793,1.732681674509481
537539,938,536601,538173,26850.177959806402,False,True,False,2453.56,0.06358026051940846,536601,2609.557984,0.758828788556104,0.5430487083993931,-5.357488331217638,-0.008164304760358343,-0.011978144872594632,2h_lower_wick,short,2024-11-03 20:00:00,0.04023245417970882,2h_wick_r60_v1p5,0.7814732848561492,2.3314117294999126
538259,86,538173,551988,223327.4877437217,True,True,False,2584.83,0.039864615639747525,538173,2485.7370479999995,0.06767542401063714,20.781942131290776,18.55426025252745,-0.0003791472837904042,-0.004796903276981568,2h_upper_wick,long,2024-11-06 08:00:00,0.696707682075161,2h_wick_r60_v1p5,2.6693946833985027,4.470689819884038
555083,215,554868,556884,-54210.935336000985,False,False,True,3580.6,0.03620286591603028,554868,3455.500962,0.1935606060606102,10.298231269676805,14.639482858135732,0.01414780766628665,0.030205839525063727,2h_upper_wick,long,2025-01-03 18:00:00,0.6901515151515224,2h_wick_r60_v1p5,2.2623949005197,2.3755978413201224
563747,239,563508,566964,95432.27353813092,False,True,False,2975.63,0.048502631039477384,563508,3119.955884,0.8374614910659268,-18.834818985719096,-30.157214749202513,-0.0067838466631220395,-0.01635759596880093,2h_lower_wick,short,2025-02-02 20:00:00,0.03314849044978498,2h_wick_r60_v1p5,2.0330989620701203,5.583661732433802
568019,1055,566964,568315,-10439.274139970425,False,False,False,2757.6,0.032579264241980876,566964,2670.594012,0.11597704620960425,9.996446364844765,4.092960850342708,0.028398135521635837,0.04356903141242907,2h_upper_wick,long,2025-02-17 16:00:00,0.642102083962547,2h_wick_r60_v1p5,25.519720619343854,41.831031237002826
569987,102,569885,571759,123009.06667361094,True,True,False,2687.55,0.018437785343528468,569885,2737.1024700000003,0.7024119947848858,-15.04287885342146,-7.989010923671504,-0.0013922846750650253,-0.024311249285928094,2h_lower_wick,short,2025-02-24 12:00:00,0.0,2h_wick_r60_v1p5,0.4706277670028827,1.9256420428998389
571859,100,571759,573015,-37549.85289484623,False,False,False,2504.86,0.10639048931071038,571759,2263.9927079999998,0.11282051282051665,38.08723717097102,44.238895642626055,0.015975638545098203,0.03148521356924694,2h_upper_wick,long,2025-03-03 00:00:00,0.6333333333333379,2h_wick_r60_v1p5,5.1006103999275965,3.2005197522458944
573875,860,573015,575212,84737.91552441102,False,True,False,2030.53,0.065232878115566,573015,2162.987316,0.7500642178268673,-16.28697448210207,-13.222942993730658,-0.007621792098534419,-0.0034957044534733583,2h_lower_wick,short,2025-03-10 00:00:00,0.020806575905470043,2h_wick_r60_v1p5,1.4073906995977596,1.5905791988387799
575891,155,575736,576594,-37415.57817728678,False,False,False,1888.66,0.005278979805788175,575736,1898.630198,0.8172678888231738,-4.835835642173229,0.5205466585703231,-0.0006290913514130914,-0.014983193020881358,2h_lower_wick,short,2025-03-17 00:00:00,0.014784151389710159,2h_wick_r60_v1p5,1.5464838424362661,3.2780990655953963
578771,121,578650,580291,70873.5770020443,False,True,False,2007.52,0.013391168207539605,578650,2034.403038,0.7149321266968232,-8.171512416280923,-10.101064192882598,-0.012283390366465086,-0.04248051828783361,2h_lower_wick,short,2025-03-27 00:00:00,0.022624434389140365,2h_wick_r60_v1p5,0.06059858068497377,9.191522964583879
