before_1590,close,current_return,daily_context,engulf_style,engulf_volume_ratio,lower_shadow_ratio_2h,macd_hist_2h,macd_hist_4h,macd_tf,oi_change_2h,oi_change_4h,oi_source,oi_threshold,reasons,saved_vs_1590,sequence_macd_tf,sequence_window_bars,status,trigger_bar,trigger_time_cst,trigger_time_utc,use_2h_wick,variant,volume_ratio_1h,volume_ratio_2h,wick_shadow_ratio,wick_volume_ratio
True,1564.52,0.10523994579807239,False,,1.5,0.47724665391969084,0.6348426031978818,-6.536643511164542,,-0.007518507765247429,-0.007634883912472135,"binance_error:HTTPError,bybit",,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_2h,25.480000000000018,2h,144,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,True,2h_wick_r75_v1p5_then_macd2h_12h,3.5231324011479934,2.688326075305559,0.75,1.5
True,1564.52,0.10523994579807239,False,,1.5,0.47724665391969084,0.6348426031978818,-6.536643511164542,,-0.007518507765247429,-0.007634883912472135,"binance_error:HTTPError,bybit",,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_2h,25.480000000000018,2h,288,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,True,2h_wick_r75_v1p5_then_macd2h_24h,3.5231324011479934,2.688326075305559,0.75,1.5
True,1564.52,0.10523994579807239,False,,1.5,0.47724665391969084,0.6348426031978818,-6.536643511164542,,-0.007518507765247429,-0.007634883912472135,"binance_error:HTTPError,bybit",,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_2h,25.480000000000018,2h,144,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,True,2h_wick_r75_v2p0_then_macd2h_12h,3.5231324011479934,2.688326075305559,0.75,2.0
True,1564.52,0.10523994579807239,False,,1.5,0.47724665391969084,0.6348426031978818,-6.536643511164542,,-0.007518507765247429,-0.007634883912472135,"binance_error:HTTPError,bybit",,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_2h,25.480000000000018,2h,288,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,True,2h_wick_r75_v2p0_then_macd2h_24h,3.5231324011479934,2.688326075305559,0.75,2.0
True,1579.03,0.09508369062019084,False,,1.5,0.07679180887370832,5.279217028957781,0.07309779628901936,,-0.003935048549634224,-0.001820315712262155,"binance_error:HTTPError,bybit",,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_4h,10.970000000000027,4h,288,triggered,710969,2026-06-27 08:00:00,2026-06-27 00:00:00,True,2h_wick_r75_v1p5_then_macd4h_24h,0.2365885287441338,0.24796875519882516,0.75,1.5
True,1579.03,0.09508369062019084,False,,1.5,0.07679180887370832,5.279217028957781,0.07309779628901936,,-0.003935048549634224,-0.001820315712262155,"binance_error:HTTPError,bybit",,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_4h,10.970000000000027,4h,288,triggered,710969,2026-06-27 08:00:00,2026-06-27 00:00:00,True,2h_wick_r75_v2p0_then_macd4h_24h,0.2365885287441338,0.24796875519882516,0.75,2.0
False,nan,nan,False,loose,1.5,,,,4h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,False,1h_loose_engulf_v1p5_macd4h,,,0.75,1.5
False,nan,nan,True,loose,1.5,,,,2h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,False,1h_loose_engulf_v1p5_oiN05_macd2h_daily,,,0.75,1.5
False,nan,nan,True,loose,1.5,,,,4h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,False,1h_loose_engulf_v1p5_oiN05_macd4h_daily,,,0.75,1.5
False,nan,nan,False,loose,2.0,,,,4h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,False,1h_loose_engulf_v2p0_macd4h,,,0.75,1.5
False,nan,nan,True,loose,2.0,,,,2h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,False,1h_loose_engulf_v2p0_oiN05_macd2h_daily,,,0.75,1.5
False,nan,nan,True,loose,2.0,,,,4h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,False,1h_loose_engulf_v2p0_oiN05_macd4h_daily,,,0.75,1.5
False,nan,nan,False,strict,1.5,,,,4h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,False,1h_strict_engulf_v1p5_macd4h,,,0.75,1.5
False,nan,nan,True,strict,1.5,,,,2h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,False,1h_strict_engulf_v1p5_oiN05_macd2h_daily,,,0.75,1.5
False,nan,nan,True,strict,1.5,,,,4h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,False,1h_strict_engulf_v1p5_oiN05_macd4h_daily,,,0.75,1.5
False,nan,nan,False,strict,2.0,,,,4h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,False,1h_strict_engulf_v2p0_macd4h,,,0.75,1.5
False,nan,nan,True,strict,2.0,,,,2h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,False,1h_strict_engulf_v2p0_oiN05_macd2h_daily,,,0.75,1.5
False,nan,nan,True,strict,2.0,,,,4h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,False,1h_strict_engulf_v2p0_oiN05_macd4h_daily,,,0.75,1.5
False,nan,nan,False,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r60_v1p5_macd2h,,,0.6,1.5
False,nan,nan,False,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r60_v1p5_macd4h,,,0.6,1.5
False,nan,nan,True,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r60_v1p5_oiN05_macd2h_daily,,,0.6,1.5
False,nan,nan,True,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r60_v1p5_oiN05_macd4h_daily,,,0.6,1.5
False,nan,nan,False,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r60_v2p0_macd2h,,,0.6,2.0
False,nan,nan,False,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r60_v2p0_macd4h,,,0.6,2.0
False,nan,nan,True,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r60_v2p0_oiN05_macd2h_daily,,,0.6,2.0
False,nan,nan,True,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r60_v2p0_oiN05_macd4h_daily,,,0.6,2.0
False,nan,nan,False,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r75_v1p5_macd2h,,,0.75,1.5
False,nan,nan,False,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r75_v1p5_macd4h,,,0.75,1.5
False,nan,nan,True,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r75_v1p5_oiN05_macd2h_daily,,,0.75,1.5
False,nan,nan,True,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r75_v1p5_oiN05_macd4h_daily,,,0.75,1.5
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,4h,144,no_trigger,-1,,,True,2h_wick_r75_v1p5_then_macd4h_12h,,,0.75,1.5
False,nan,nan,False,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r75_v2p0_macd2h,,,0.75,2.0
False,nan,nan,False,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r75_v2p0_macd4h,,,0.75,2.0
False,nan,nan,True,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r75_v2p0_oiN05_macd2h_daily,,,0.75,2.0
False,nan,nan,True,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r75_v2p0_oiN05_macd4h_daily,,,0.75,2.0
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,4h,144,no_trigger,-1,,,True,2h_wick_r75_v2p0_then_macd4h_12h,,,0.75,2.0
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v1p5,,,0.85,1.5
False,nan,nan,False,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v1p5_macd2h,,,0.85,1.5
False,nan,nan,False,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v1p5_macd4h,,,0.85,1.5
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",0.0,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v1p5_oi0,,,0.85,1.5
False,nan,nan,True,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v1p5_oiN05_macd2h_daily,,,0.85,1.5
False,nan,nan,True,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v1p5_oiN05_macd4h_daily,,,0.85,1.5
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v1p5_oiN0p5,,,0.85,1.5
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,2h,144,no_trigger,-1,,,True,2h_wick_r85_v1p5_then_macd2h_12h,,,0.85,1.5
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,2h,288,no_trigger,-1,,,True,2h_wick_r85_v1p5_then_macd2h_24h,,,0.85,1.5
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,4h,144,no_trigger,-1,,,True,2h_wick_r85_v1p5_then_macd4h_12h,,,0.85,1.5
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,4h,288,no_trigger,-1,,,True,2h_wick_r85_v1p5_then_macd4h_24h,,,0.85,1.5
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v2p0,,,0.85,2.0
False,nan,nan,False,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v2p0_macd2h,,,0.85,2.0
False,nan,nan,False,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v2p0_macd4h,,,0.85,2.0
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",0.0,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v2p0_oi0,,,0.85,2.0
False,nan,nan,True,,1.5,,,,2h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v2p0_oiN05_macd2h_daily,,,0.85,2.0
False,nan,nan,True,,1.5,,,,4h,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v2p0_oiN05_macd4h_daily,,,0.85,2.0
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",-0.005,,nan,,0,no_trigger,-1,,,True,2h_wick_r85_v2p0_oiN0p5,,,0.85,2.0
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,2h,144,no_trigger,-1,,,True,2h_wick_r85_v2p0_then_macd2h_12h,,,0.85,2.0
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,2h,288,no_trigger,-1,,,True,2h_wick_r85_v2p0_then_macd2h_24h,,,0.85,2.0
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,4h,144,no_trigger,-1,,,True,2h_wick_r85_v2p0_then_macd4h_12h,,,0.85,2.0
False,nan,nan,False,,1.5,,,,,,,"binance_error:HTTPError,bybit",,,nan,4h,288,no_trigger,-1,,,True,2h_wick_r85_v2p0_then_macd4h_24h,,,0.85,2.0
