side,entry_step,exit_step,entry_time,exit_time,entry_price,exit_price,entry_notional,entry_size,pnl,return_pct,duration_bars,duration_days,mae_pct,mfe_pct,mae_step,mfe_step,time_to_mae_bars,time_to_mae_hours,time_to_mfe_bars,time_to_mfe_hours,entry_regime,exit_regime,mae_pnl_est,mfe_pnl_est,git_commit,checkpoint,data_file,oos_start,oos_end,commission,slippage,script_version
short,70911,71706,2025-02-07 19:40:00,2025-02-10 13:55:00,2660.197854,2679.025698,12826.075940392153,1.0,-90.77745180466991,-0.007077610400929135,795,2.7604166666666665,-0.013695276817556667,0.04976240913845942,71295,71512,384,32.0,601,50.083333333333336,,,-175.65666048667399,638.2564385867449,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,71706,74042,2025-02-10 13:55:00,2025-02-18 16:35:00,2679.025698,2633.2732400000004,12732.733273399404,1.0,-222.4555031073578,-0.01707802132475078,2336,8.11111111111111,-0.04859441926861274,0.06210627323366569,72289,73735,583,48.583333333333336,2029,169.08333333333334,,,-618.7397791229866,790.7826116891299,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,74042,74588,2025-02-18 16:35:00,2025-02-20 14:05:00,2633.2732400000004,2760.552,12510.277770292047,1.0,-604.6813662403856,-0.048334809341699536,546,1.8958333333333333,-0.04928723613961128,0.00917232577049265,74588,74056,546,45.5,14,1.1666666666666667,,,-616.5970146365138,114.74834318847108,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,74588,75612,2025-02-20 14:05:00,2025-02-24 03:25:00,2760.552,2741.891512,11903.094348497603,1.0,-85.18986098343521,-0.006759694437924013,1024,3.5555555555555554,-0.05136726277932824,0.03330783118738556,74965,75562,377,31.416666666666668,974,81.16666666666667,,,-611.4293752864132,396.4662571672813,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,75612,77486,2025-02-24 03:25:00,2025-03-02 15:35:00,2741.891512,2283.15654,11817.904487514168,1.0,1977.2070265132807,0.16730602578268605,1874,6.506944444444445,0.0015469291842645783,0.24118806637890067,75613,76822,1,0.08333333333333333,1210,100.83333333333333,,,18.28146134858699,2850.337531994075,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,77486,78742,2025-03-02 15:35:00,2025-03-07 00:15:00,2283.15654,2166.2566620000002,13792.747933129946,1.0,-711.4364608400101,-0.05120099123820909,1256,4.361111111111111,-0.1459192719216703,0.11528927403287037,78131,77575,645,53.75,89,7.416666666666667,,,-2012.6277362014448,1590.1558961289247,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,78742,80939,2025-03-07 00:15:00,2025-03-14 15:20:00,2166.2566620000002,1936.827288,13081.311472289935,1.0,1385.4489951644246,0.10591052206536744,2197,7.628472222222222,-0.04187561870727197,0.18822176944792712,78916,79901,174,14.5,1159,96.58333333333333,,,-547.7880114046758,2462.1875920138805,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,80939,81463,2025-03-14 15:20:00,2025-03-16 11:00:00,1936.827288,1898.6202,14464.144205159902,1.0,-290.99987492536275,-0.019726636565231992,524,1.8194444444444444,-0.01953054267376675,0.00886641369955754,81463,81302,524,43.666666666666664,363,30.25,,,-282.4925856383915,128.24508633300556,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,81463,82321,2025-03-16 11:00:00,2025-03-19 10:30:00,1898.6202,1979.09574,14173.14433023454,1.0,-600.7469642813139,-0.042386328766543135,858,2.9791666666666665,-0.04772402611117266,0.051943090039808903,82321,81526,858,71.5,63,5.25,,,-676.3995100935318,736.1969120925797,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,82321,84377,2025-03-19 10:30:00,2025-03-26 13:50:00,1979.09574,2036.29266,13569.562737087179,1.0,386.5834500618075,0.028900532118774747,2056,7.138888888888889,-0.06012631809313074,0.06192437158194286,82605,83770,284,23.666666666666668,1449,120.75,,,-815.8878455147975,840.286645135872,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,84377,86018,2025-03-26 13:50:00,2025-04-01 06:35:00,2036.29266,1855.8711,13956.146187148986,1.0,1236.5563910178844,0.08860296142304025,1641,5.697916666666667,0.0004138206734979333,0.13079291853853658,84378,85628,1,0.08333333333333333,1251,104.25,,,5.775341814601608,1825.3650913676854,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,86018,86492,2025-04-01 06:35:00,2025-04-02 22:05:00,1855.8711,1849.909944,15189.911348929441,1.0,-54.84664015704584,-0.0032120528198321674,474,1.6458333333333333,-0.005593653567858237,0.05220669689829216,86111,86470,93,7.75,452,37.666666666666664,,,-84.96710181238949,793.0150977054875,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,86492,88453,2025-04-02 22:05:00,2025-04-09 17:30:00,1849.909944,1595.489034,15135.064708772396,1.0,2081.548842157017,0.13753151110149398,1961,6.809027777777778,0.00211358613033108,0.2504878388826045,86493,88260,1,0.08333333333333333,1768,147.33333333333334,,,31.98926285012474,3791.1496502487735,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,88453,89562,2025-04-09 17:30:00,2025-04-13 13:55:00,1595.489034,1570.695798,17213.586537987656,1.0,-274.26973538692255,-0.015539584084662494,1109,3.8506944444444446,-0.07602624111799439,0.05615893565583718,88727,88500,274,22.833333333333332,47,3.9166666666666665,,,-1308.6842806425118,966.6966987930339,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,89562,91165,2025-04-13 13:55:00,2025-04-19 03:30:00,1570.695798,1598.859708,16939.316802600733,1.0,-303.7356508839948,-0.017930849522779457,1603,5.565972222222222,-0.07601357446300372,0.018906142130011627,89818,90474,256,21.333333333333332,912,76.0,,,-1287.618019126901,320.2571310552636,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,91165,91994,2025-04-19 03:30:00,2025-04-22 00:35:00,1598.859708,1558.598218,16632.19328835622,1.0,-425.3062392946431,-0.02518137757712502,829,2.8784722222222223,-0.0366446835246661,0.036301053625650725,91994,91774,829,69.08333333333333,609,50.75,,,-609.4814593728892,603.7661404728071,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,91994,92997,2025-04-22 00:35:00,2025-04-25 12:10:00,1558.598218,1798.2595800000001,16206.887049061575,1.0,-2492.087706333221,-0.1537672501047349,1003,3.482638888888889,-0.17637758007496962,0.0022444642625660816,92438,91996,444,37.0,2,0.16666666666666666,,,-2858.531518261846,36.375778789063766,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,92997,93716,2025-04-25 12:10:00,2025-04-28 00:05:00,1798.2595800000001,1778.954138,13711.557965318541,1.0,-152.62735564134528,-0.01073562583217269,719,2.4965277777777777,-0.021731890342550075,0.031936668453616646,93013,93441,16,1.3333333333333333,444,37.0,,,-297.97807412782157,437.9014807209247,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,93716,94681,2025-04-28 00:05:00,2025-05-01 08:30:00,1778.954138,1819.303788,13558.930609677196,1.0,-307.5386296227298,-0.022681669604683208,965,3.3506944444444446,-0.034939552781208194,0.025410513421566416,94125,94459,409,34.083333333333336,743,61.916666666666664,,,-473.7429716935558,344.5393882392901,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,94681,95360,2025-05-01 08:30:00,2025-05-03 17:05:00,1819.303788,1817.33646,13248.68019393253,1.0,-19.619846051522472,-0.0010813631087761566,679,2.357638888888889,-0.004014606053246994,0.02833842942561926,95360,94761,679,56.583333333333336,80,6.666666666666667,,,-53.188231704095095,375.4467886583567,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,95360,96311,2025-05-03 17:05:00,2025-05-07 00:20:00,1817.33646,1838.1775619999999,13229.060347881008,1.0,-151.7095097403526,-0.011467938083407958,951,3.3020833333333335,-0.01772568850569356,0.03612785053572298,95514,96185,154,12.833333333333334,825,68.75,,,-234.49420294956084,477.93751497630456,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,96311,97972,2025-05-07 00:20:00,2025-05-12 18:45:00,1838.1775619999999,2409.498004,13074.705026071078,1.0,4056.8693028080233,0.31080808177115604,1661,5.767361111111111,-0.026666391219935748,0.42680449060992287,96541,97837,230,19.166666666666668,1526,127.16666666666667,,,-348.6551993104716,5580.342818527265,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,97972,99021,2025-05-12 18:45:00,2025-05-16 10:10:00,2409.498004,2620.133922,17131.5743288791,1.0,-1497.6244363255028,-0.08741900497544464,1049,3.642361111111111,-0.13591295591710306,-0.003105209461713221,98272,98063,300,25.0,91,7.583333333333333,,,-2328.4029065515197,-53.19712670007871,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,99021,99709,2025-05-16 10:10:00,2025-05-18 19:30:00,2620.133922,2434.483006,15630.523577687822,1.0,-1113.317289160108,-0.07085550644613192,688,2.388888888888889,-0.07276495311906428,0.010368202087648992,99709,99035,688,57.333333333333336,14,1.1666666666666667,,,-1137.3543153568833,162.06042718922967,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
