config_id,overlay_family,baseline_tier,base_size,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,event_trade_count,logical_trade_count,partial_close_count,stop_trigger_count,stop_counts_json,event_pnl,logical_pnl,pnl_mismatch_abs,top20_loss_contribution,top50_loss_contribution,max_single_loss,git_commit,checkpoint,data_file,oos_start,oos_end,mc_seed,mc_sims,mc_block_bars,commission,slippage,script_version,stage_a_pass,stage_a_reason,return_drop_vs_baseline,dd_improvement_vs_baseline
balanced_adverse_-0.05_reduce_half,adverse_stop,balanced,0.425,1.4138800173700883,0.548533509214572,1.848001890337635,-0.15158843874129257,0.3904109589041096,292,254,38,75,"{""adverse_stop"": 75}",14292.285928990397,14292.285928990397,0.0,0.311858638335646,0.6428008265282051,-584.2315915832323,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.0,0.03354843557522974
balanced_adverse_-0.05_close,adverse_stop,balanced,0.425,1.4063240456105248,0.5461261887673154,1.8314792546317962,-0.1583317412464852,0.4392156862745098,255,255,0,38,"{""adverse_stop"": 38}",14216.360685575211,14216.360685575211,0.0,0.3051929089784575,0.634507596871162,-537.500564477521,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.0,-0.009443466113626628
balanced_adverse_-0.06_reduce_half,adverse_stop,balanced,0.425,1.4049175882088463,0.5456776735375555,1.8323868218812889,-0.15847607129770142,0.40441176470588236,272,244,28,55,"{""adverse_stop"": 55}",14197.86025979542,14197.860259795418,1.8189894035458565e-12,0.35522540790003265,0.7001086105106419,-652.3655555579526,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.0,-0.010363641853608243
balanced_adverse_-0.06_close,adverse_stop,balanced,0.425,1.4059476857661508,0.5460061816367583,1.8315848311533374,-0.15777701312668613,0.4489795918367347,245,245,0,28,"{""adverse_stop"": 28}",14208.352972520745,14208.352972520745,0.0,0.35444871646669207,0.6996980171254784,-641.4389727089638,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.0,-0.0059067989135298
balanced_time_v1,time_in_loss_stop,balanced,0.425,1.3679809957805187,0.5338510370283516,1.8328601674754108,-0.15877087208982166,0.38235294117647056,272,231,41,55,"{""time_in_loss_stop"": 55}",13822.875424812413,13822.87542481241,3.637978807091713e-12,0.4079075317108392,0.7169532460402896,-771.9752105998009,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.02579646239703171,-0.012243143279337091
balanced_time_v2,time_in_loss_stop,balanced,0.425,0.9374168552109072,0.3884585304675705,1.433143854310505,-0.20631652070382064,0.30939226519337015,362,259,103,145,"{""time_in_loss_stop"": 145}",9517.423318934772,9517.423318934772,0.0,0.3578768821767107,0.6356932682126522,-740.0840305912202,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.3324214156688209,-0.31537026079659686
balanced_squeeze_2_1,squeeze_stop,balanced,0.425,1.7081212877805418,0.6394917454354423,2.2356270160471503,-0.15391675796046428,0.23623853211009174,436,217,219,219,"{""squeeze_stop"": 219}",17228.149182200956,17228.149182200956,0.0,0.43209462939567195,0.7460907213928617,-817.1487649844967,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.0,0.018704244484317754
balanced_squeeze_2_0,squeeze_stop,balanced,0.425,0.8136734253617404,0.3437193288823832,1.369941393773158,-0.16264532587241476,0.01611565351344946,8439,395,8044,8222,"{""squeeze_stop"": 8222}",8448.444797762262,8448.444797762237,2.546585164964199e-11,0.40550015816919954,0.587371696339637,-622.0749156868987,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,return_drop_without_dd_payoff,0.42054492578045155,-0.03694470990651933
balanced_squeeze_2.5_1,squeeze_stop,balanced,0.425,1.7081212877805418,0.6394917454354423,2.2356270160471503,-0.15391675796046428,0.23623853211009174,436,217,219,219,"{""squeeze_stop"": 219}",17228.149182200956,17228.149182200956,0.0,0.43209462939567195,0.7460907213928617,-817.1487649844967,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.0,0.018704244484317754
balanced_squeeze_2.5_0,squeeze_stop,balanced,0.425,0.5299864487788475,0.23495241915573395,0.9433674817007491,-0.1390568766070864,0.015567649664599418,7901,383,7518,7684,"{""squeeze_stop"": 7684}",5584.850647228443,5584.850647228456,1.2732925824820995e-11,0.38265120967580263,0.5638214375071472,-566.3145399884615,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,return_drop_without_dd_payoff,0.6225717499917477,0.11344336641464012
balanced_squeeze_3_1,squeeze_stop,balanced,0.425,1.6999258793580938,0.6370277552451584,2.226462841249534,-0.15391675796046428,0.23732718894009217,434,217,217,217,"{""squeeze_stop"": 217}",17145.947610028463,17145.947610028456,7.275957614183426e-12,0.43091169760653736,0.7452417660171043,-815.6499450329284,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.0,0.018704244484317754
balanced_squeeze_3_0,squeeze_stop,balanced,0.425,0.896376295283762,0.37378431814688384,1.4305085204530759,-0.13578934686811445,0.017543859649122806,7068,367,6701,6851,"{""squeeze_stop"": 6851}",9249.460324043954,9249.460324043948,5.4569682106375694e-12,0.38072609251755546,0.5738634832379146,-614.7700947001722,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,return_drop_without_dd_payoff,0.3616483265612631,0.13427549091077887
balanced_be_0.025_0_reduce_half,break_even_stop,balanced,0.425,1.3803463508696696,0.5378205506570088,1.9440535392923903,-0.1501886320444086,0.37454545454545457,275,217,58,58,"{""break_even_stop"": 58}",13936.085147690404,13936.085147690412,7.275957614183426e-12,0.5038971192786278,0.8073439713415241,-847.9579005177275,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,weak_dd_and_tail_improvement,0.016990512088712918,0.04247289830688046
balanced_be_0.03_0_reduce_half,break_even_stop,balanced,0.425,1.4792119188722936,0.5691918322955178,2.00167091522394,-0.15417644398941813,0.40234375,256,217,39,39,"{""break_even_stop"": 39}",14928.41623804772,14928.416238047721,1.8189894035458565e-12,0.4905368918065128,0.7942501033607904,-882.3578464955044,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,weak_dd_and_tail_improvement,0.0,0.01704861710913233
balanced_be_0.04_0.005_reduce_half,break_even_stop,balanced,0.425,1.4788599467154881,0.5690812763600299,1.9644816877069067,-0.1578415288140453,0.4957983193277311,238,217,21,21,"{""break_even_stop"": 21}",14924.366937308847,14924.366937308847,0.0,0.4751687370185771,0.7881230427400155,-889.051608529684,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,weak_dd_and_tail_improvement,0.0,-0.006318118454096048
balanced_be_0.03_0_close,break_even_stop,balanced,0.425,1.3678025886262772,0.5337936886271155,1.7875504316060302,-0.15733020102508025,0.3895131086142322,267,267,0,50,"{""break_even_stop"": 50}",13835.090142108058,13835.090142108058,0.0,0.4488563700101931,0.7597082908218101,-845.9224444838819,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.025923514513495158,-0.003058149912415078
