avg_bars_held,daily_context,dd_improve_rel,delta_avg_bars_held,delta_full,delta_giveback_to_loss_6_count,delta_mfe_capture_avg,delta_oos,delta_roll12,engulf_style,engulf_volume_ratio,exited_base_loser_pnl,exited_base_pnl,exited_base_winner_pnl,exits,full_dd,full_return,giveback_to_loss_6_count,giveback_to_loss_6_pnl,macd_tf,mfe_capture_avg,oi_threshold,oos_return,pass_gate,rolling12_min,sequence_macd_tf,sequence_window_bars,top20_winner_exited_pnl,top20_winner_exits,trades,unique_base_trades_exited,use_2h_wick,variant,wick_shadow_ratio,wick_volume_ratio,worst20_loser_exited_pnl,worst20_loser_exits,year_flat,year_losses,year_min_delta,year_wins
2077.5423728813557,False,0.0,-160.88983050847492,88.08690815526711,0,0.010730524828989785,0.028800678033052307,0.0,,1.5,0.0,399707.2561680425,399707.2561680425,7,-0.5111768933334906,510.9372450557107,17,-421280.12009274086,,0.36391275049686506,,6.325964069970794,False,0.039948050356808595,4h,288,307884.85576939007,2,236,7,True,2h_wick_r85_v1p5_then_macd4h_24h,0.85,1.5,0.0,0,3,3,-0.2590847761630819,2
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,2h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r60_v1p5_oiN05_macd2h_daily,0.6,1.5,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,4h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r60_v1p5_oiN05_macd4h_daily,0.6,1.5,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,2h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r60_v2p0_oiN05_macd2h_daily,0.6,2.0,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,4h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r60_v2p0_oiN05_macd4h_daily,0.6,2.0,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,2h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r75_v1p5_oiN05_macd2h_daily,0.75,1.5,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,4h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r75_v1p5_oiN05_macd4h_daily,0.75,1.5,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,2h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r75_v2p0_oiN05_macd2h_daily,0.75,2.0,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,4h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r75_v2p0_oiN05_macd4h_daily,0.75,2.0,0.0,0,8,0,0.0,0
2238.4322033898306,False,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,2h,0.35318222566787527,,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r85_v1p5_macd2h,0.85,1.5,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,2h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r85_v1p5_oiN05_macd2h_daily,0.85,1.5,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,4h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r85_v1p5_oiN05_macd4h_daily,0.85,1.5,0.0,0,8,0,0.0,0
2238.4322033898306,False,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,2h,0.35318222566787527,,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r85_v2p0_macd2h,0.85,2.0,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,2h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r85_v2p0_oiN05_macd2h_daily,0.85,2.0,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,4h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,True,2h_wick_r85_v2p0_oiN05_macd4h_daily,0.85,2.0,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,strict,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,2h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,False,1h_strict_engulf_v1p5_oiN05_macd2h_daily,0.75,1.5,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,strict,1.5,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,4h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,False,1h_strict_engulf_v1p5_oiN05_macd4h_daily,0.75,1.5,0.0,0,8,0,0.0,0
2238.4322033898306,True,0.0,0.0,0.0,0,0.0,0.0,0.0,strict,2.0,0.0,0.0,0.0,0,-0.5111768933334906,422.8503369004436,17,-357328.6943874144,2h,0.35318222566787527,-0.005,6.297163391937742,False,0.039948050356808595,,0,0.0,0,236,0,False,1h_strict_engulf_v2p0_oiN05_macd2h_daily,0.75,1.5,0.0,0,8,0,0.0,0
